"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Barbados","BRB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27541828390985","0.285371025913444","0.280120202748486","0.263233040385043","0.273565129926466","0.273074218694216","0.272027875925438","0.283040616901475","0.290380076593215","0.307634978997054","0.289516573013708","0.303693970037746","0.298721201224393","0.302927916160647","0.305952652860282","0.30486346468396","0.292144530182214","0.290314112983578","0.341603246294339","0.355428566918683","0.336819530574179","0.347318433219019","0.337210040369789","0.33509570176983","0.298457766100287","0.288548019395722","0.286113392395073","0.260348927236374","0.282715155925319","0.259128556688597","0.278841252490294","","",
"Brunei Darussalam","BRN","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.176912158738614","0.178050210959386","0.180051184101595","0.196661872587466","0.207022238143207","0.213739065189462","0.217987419046089","0.239483576831313","0.20822928299628","0.198264899390818","0.205161081283141","0.199296582633561","0.188253077065822","0.218395420798165","0.201047874238102","0.195888039984576","0.282726992948996","0.268117537780462","0.302867716240081","0.306819468810479","0.27233006132847","0.268425260703191","0.264792782519432","0.267182983956511","0.269172116582718","0.244179800353003","0.272723273826596","0.281572532504189","0.291068617609551","0.262305245141553","0.352346774767266","","",
"Bhutan","BTN","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.114651417495278","0.113512664860067","0.121764187998399","0.103059149410664","0.114197948999171","0.127439929130058","0.145515536383351","0.177493602010871","0.165934008460292","0.154117338604686","0.153175868765006","0.137907849182081","0.134800921093853","0.114754774111499","0.0898460523889048","0.105622908629185","0.0992324946519067","0.0840941556701946","0.0850549677963859","0.0748157494983539","0.0830588308418636","0.116068981693021","0.123726217753933","0.131923729968622","0.139059298722452","0.134223348077283","0.146326906499693","0.149053795647769","0.159934934587662","0.149016378236103","0.119901529623481","","",
"Botswana","BWA","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.228350035122334","0.206997384610975","0.242581628935998","0.234513688444857","0.214492928448979","0.207541248758755","0.179269175991478","0.174009467291024","0.208058544416559","0.198801551883381","0.203782951115708","0.194797568002495","0.191304525825597","0.177774125597952","0.175535534897126","0.180922161701433","0.159477559755269","0.159336070075237","0.156921779973155","0.174197377227887","0.127396127948388","0.137336027229322","0.12095626757244","0.172870041487787","0.210840090410657","0.220347299788478","0.196063464970731","0.208432957050473","0.219790679507707","0.190483092213366","0.167106326343388","","",
"Central African Republic","CAF","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0438806069924613","0.0423355857836564","0.0482687161729991","0.0500444222560641","0.0486452079997875","0.0462533417471305","0.0491218683339473","0.0466494759554543","0.060669928947975","0.0609824788485344","0.0642296066159153","0.0639620668632736","0.0609488206692467","0.0595774857237002","0.0550399318035884","0.0540381706564049","0.0539249346344857","0.0523198175984646","0.0369517150058701","0.0333941887258627","0.0331685672127872","0.0353662679686407","0.0341849785826873","0.032867283625267","0.0355093035086933","0.0481267605798103","0.0514256821476081","0.0530121611151433","0.0526153703606095","0.0524366979924712","0.0522338997678714","","",
"Canada","CAN","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4383018806416","0.441030845241766","0.450917028470261","0.434779945839408","0.430588079819779","0.430122544249673","0.436168683650429","0.431959955137572","0.422715878461066","0.409828735552012","0.405370469358907","0.392356723722367","0.394196754909723","0.402129491244817","0.384267502195122","0.381093656286637","0.365558793084198","0.378749109085211","0.36115577340008","0.352340587247547","0.352066113228491","0.349130663157829","0.341166557348765","0.339169048250723","0.333276726566123","0.329318230725808","0.324960117821626","0.321773672593209","0.319359919670276","0.306101468199166","0.294475040318813","","",
"Central Europe and the Baltics","CEB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.640171286935771","0.656511913615258","0.624230457164486","0.597231215751706","0.559553649443984","0.531925112082874","0.525173012323643","0.500234779792092","0.45803658185113","0.425178002941036","0.404887582787068","0.399250319947585","0.377156554369049","0.377197549420157","0.35528418086869","0.338431296986717","0.325381859098029","0.308007762848004","0.288423278224267","0.276131968860787","0.282232522837946","0.272878993216282","0.260120370840854","0.248394415361867","0.233099117789912","0.227439000252398","0.225439317247047","0.223198555356919","0.210825616375983","0.192416554322664","0.185221578202799","","",
"Switzerland","CHE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.114733513535073","0.122048636611985","0.122197756085749","0.116326745576249","0.112597375256012","0.114285329091125","0.115232935207726","0.109464213716764","0.109970580702457","0.108858479164969","0.102786495538565","0.104539513777928","0.100952263527515","0.103919511743698","0.102188609033392","0.1006987494417","0.0959734666389808","0.0884206723096491","0.088813099755648","0.0882855470183817","0.0885261198717824","0.0792264875460844","0.080820478131749","0.0812922727024434","0.0726057872781293","0.0701699895544042","0.0697602769208499","0.0671437294106246","0.063222542992276","0.0623335929383993","0.0595050850769165","","",
"Channel Islands","CHI","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.235871484192687","0.209550565558547","0.195614283037195","0.196332169940012","0.206285431024331","0.205993059340802","0.222191444537476","0.236340395818549","0.230078270616778","0.241428523723461","0.213067664536634","0.198362809584278","0.194970535309326","0.190267259902767","0.195316021217661","0.187890405473993","0.180904342885082","0.194366009108048","0.197180933402107","0.191957997458414","0.193256250963188","0.199464973058971","0.192671164173769","0.197408123501546","0.178888319724549","0.188157938308053","0.194457207718051","0.193254546120782","0.184654550592775","0.194584729029668","0.191338517379693","","",
"China","CHN","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34458260686511","1.30353581287582","1.1987016753361","1.15147608119882","1.06575042023685","1.07192276364306","0.969442350328716","0.905853300399128","0.867331919186748","0.785042938791729","0.767860778531","0.747443281811413","0.736719477918691","0.780316494332627","0.818970599314757","0.837486840858158","0.821146395264602","0.780902445849623","0.733194551740999","0.71856055377109","0.713079744961183","0.712941908195735","0.679335259845691","0.659358241039333","0.616358427868721","0.566518578978337","0.53029383652682","0.507329210515754","0.497766308618372","0.478504743708926","0.47593568245709","","",
